gsm 1.0.24-1
gsound 1.0.3-4
gspell 1.14.3-1
gssdp 1.6.5-1
gssproxy 0.9.2-3
gst-libav 1.28.3-1
gst-plugins-bad 1.28.3-1
gst-plugins-bad-libs 1.28.3-1
gst-plugins-base 1.28.3-1
gst-plugins-base-libs 1.28.3-1
gst-plugins-good 1.28.3-1
gst-plugins-ugly 1.28.3-1
gstreamer 1.28.3-1
gtest 1.17.0-2
gtk-doc 1.36.1-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtkmm-4.0 4.22.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtkspell3 3.0.10-4
gts 0.7.6.121130-5
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gvfs 1.60.0-2
gvfs-afc 1.60.0-2
gvfs-goa 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-nfs 1.60.0-2
gvfs-smb 1.60.0-2
gzip 1.14-2
harfbuzz 14.2.0-1
harfbuzz-icu 14.2.0-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
htop 3.5.1-1
hwdata 0.407-1
hwinfo 25.2-1
hyphen 2.8.9-1
iana-etc 20260530-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.24-1
imath 3.2.2-6
imlib2 1.12.6-1
inetutils 2.8-1
intel-ucode 20260512-1
inxi 3.3.40.1-1
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
irssi 1.4.5-5
iso-codes 4.20.1-1
itstool 1:2.0.7-3
iw 6.17-1
iwd 3.12-1
jack2 1.9.22-2
jansson 2.15.0-1
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-2
jfsutils 1.1.15-9
jq 1.8.1-3
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kactivities5 5.116.0-2
karchive 6.26.0-1
karchive5 5.116.0-3
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.26.0-1
kbookmarks5 5.116.0-2
kcmutils 6.26.0-1
kcodecs 6.26.0-1
kcodecs5 5.116.0-2
kcolorscheme 6.26.0-2
kcompletion 6.26.0-1
kcompletion5 5.116.0-2
kconfig 6.26.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.26.0-1
kconfigwidgets5 5.116.0-3
kcoreaddons 6.26.0-1
kcoreaddons5 5.116.0-2
kcrash 6.26.0-1
kcrash5 5.116.0-2
kdbusaddons 6.26.0-1
kdbusaddons5 5.116.0-2
kdeclarative 6.26.0-1
kdeclarative5 5.116.0-2
kded5 5.116.0-2
keyutils 1.6.3-4
kfilemetadata 6.26.0-1
kglobalaccel 6.26.0-1
kglobalaccel5 5.116.0-2
kguiaddons 6.26.0-2
kguiaddons5 5.116.0-2
ki18n 6.26.0-1
ki18n5 5.116.0-2
kiconthemes 6.26.0-1
kiconthemes5 5.116.0-2
kio 6.26.0-1
kio5 5.116.0-6
kirigami 6.26.0-2
kirigami2 5.116.0-2
kitemviews 6.26.0-1
kitemviews5 5.116.0-2
kitty-terminfo 0.47.1-1
kjobwidgets 6.26.0-1
kjobwidgets5 5.116.0-2
kmod 34.2-1
knotifications 6.26.0-1
knotifications5 5.116.0-3
kpackage 6.26.0-1
kpackage5 5.116.0-3
kparts 6.26.0-1
kparts5 5.116.0-2
kpmcore 26.04.1-1
kpty 6.26.0-1
krb5 1.22.2-1
kservice 6.26.0-1
