a52dec 0.8.0-3
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gettext 1.0-2
ghostscript 10.07.1-1
ghostwriter 26.04.1-1
giflib 6.1.3-1
git 2.54.0-1
glances 4.5.4-1
glew 2.3.1-1
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.88.1-1
glib2-docs 2.88.1-1
glibc 2.43+r22+g8362e8ce10b2-2
glibmm 2.66.8-1
glibmm-2.68 2.88.0-1
glslang 1:1.4.350.0-1
glu 9.0.3-3
glycin 2.1.1-1
gmp 6.3.0-3
gnu-free-fonts 20120503-9
gnugo 3.8-8
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.13-2
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
gocryptfs 2.6.1-1
gpart 0.3-6
gparted 1.8.1-1
gperftools 2.18.1-1
gpgme 2.1.0-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
granatier 26.04.1-1
grantlee-editor 26.04.1-1
grantleetheme 26.04.1-1
graphene 1.10.8-2
graphite 1:1.3.14-6
graphviz 14.1.5-1
grep 3.12-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsl 2.8-1
gsm 1.0.24-1
gsound 1.0.3-4
gssdp 1.6.5-1
gssproxy 0.9.2-3
gst-libav 1.28.3-1
gst-plugin-qml6 1.28.3-1
gst-plugins-bad 1.28.3-1
gst-plugins-bad-libs 1.28.3-1
gst-plugins-base 1.28.3-1
gst-plugins-base-libs 1.28.3-1
gst-plugins-good 1.28.3-1
gst-plugins-ugly 1.28.3-1
gstreamer 1.28.3-1
gtest 1.17.0-2
gtk-doc 1.36.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtkmm-4.0 4.22.0-1
gtkmm3 3.24.10-1
gtkspell3 3.0.10-4
gts 0.7.6.121130-5
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gvfs 1.60.0-2
gvfs-afc 1.60.0-2
gvfs-goa 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-nfs 1.60.0-2
gvfs-smb 1.60.0-2
gwenview 26.04.1-1
gzip 1.14-2
hardinfo2 2.2.16-2
harfbuzz 14.2.0-1
harfbuzz-icu 14.2.0-1
hdf5 2.1.1-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
htop 3.5.1-1
hunspell 1.7.3-1
hwdata 0.407-1
hwinfo 25.2-1
hwloc 2.13.0-1
hyphen 2.8.9-1
i2c-tools 4.4-4
iana-etc 20260511-1
icu 78.3-1
id3lib 3.8.3-20
iio-sensor-proxy 3.9-1
ijs 0.35-7
imagemagick 7.1.2.24-1
imath 3.2.2-6
imlib2 1.12.6-1
inchi 1.07.5-1
incidenceeditor 26.04.1-1
inetutils 2.8-1
intel-ucode 20260512-1
iperf3 3.21-1
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
isoimagewriter 26.04.1-1
itinerary 26.04.1-1
itstool 1:2.0.7-3
iw 6.17-1
iwd 3.12-1
jack2 1.9.22-2
jansson 2.15.0-1
jasper 4.2.9-1
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-2
jfsutils 1.1.15-9
jkqtplotter 5.0.0git20251013-1
jq 1.8.1-3
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
juk 26.04.1-1
k3b 1:26.04.1-1
kaccounts-integration 26.04.1-1
kaccounts-providers 26.04.1-1
kactivitymanagerd 6.6.5-1
kaddressbook 26.04.1-1
kajongg 26.04.1-1
kalarm 26.04.1-1
kalgebra 26.04.1-1
kalk 26.04.1-1
kalm 26.04.1-1
kalzium 26.04.1-2
kamera 26.04.1-1
kamoso 26.04.1-1
kanagram 26.04.1-1
kapman 26.04.1-1
kapptemplate 26.04.1-1
karchive 6.26.0-1
kasts 26.04.1-1
kate 26.04.1-1
katomic 26.04.1-1
kauth 6.26.0-1
kbackup 26.04.1-1
kbd 2.9.0-1
kblackbox 26.04.1-1
kblocks 26.04.1-1
kbookmarks 6.26.0-1
kbounce 26.04.1-1
kbreakout 26.04.1-1
kbruch 26.04.1-1
kcachegrind 26.04.1-1
kcachegrind-common 26.04.1-1
kcalc 26.04.1-1
kcalendarcore 6.26.0-3
kcalutils 26.04.1-1
kcharselect 26.04.1-1
kclock 26.04.1-1
kcmutils 6.26.0-1
kcodecs 6.26.0-1
kcolorchooser 26.04.1-1
kcolorpicker 0.3.1-6
kcolorscheme 6.26.0-1
kcompletion 6.26.0-1
